# darshan log version: 3.21
# compression method: ZLIB
# exe: ./C_scripts/file_iter_l_name /files6/scratch/yll6162/train_2048.h5 2048 
# uid: 21512
# jobid: 3793544
# start_time: 1667604609
# start_time_asci: Fri Nov  4 18:30:09 2022
# end_time: 1667605038
# end_time_asci: Fri Nov  4 18:37:18 2022
# nprocs: 1
# run time: 430
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 345 bytes (compressed)
# record table: 138 bytes (compressed)
# POSIX module: 195 bytes (compressed), ver=4
# STDIO module: 50 bytes (compressed), ver=2
# HEATMAP module: 688 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/tracing	tracefs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/homes/zhd1108	xfs
# mount entry:	/homes/yll6162	xfs
# mount entry:	/homes/wkliao	xfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/vol/cucis	xfs
# mount entry:	/boot/efi	vfat
# mount entry:	/files4	xfs
# mount entry:	/files7	xfs
# mount entry:	/files1	xfs
# mount entry:	/files5	xfs
# mount entry:	/files3	xfs
# mount entry:	/files2	xfs
# mount entry:	/files8	xfs
# mount entry:	/files6	xfs
# mount entry:	/homes	autofs
# mount entry:	/boot	xfs
# mount entry:	/misc	autofs
# mount entry:	/meas	autofs
# mount entry:	/dev	devtmpfs
# mount entry:	/usr	xfs
# mount entry:	/tmp	xfs
# mount entry:	/var	xfs
# mount entry:	/net	autofs
# mount entry:	/vol	autofs
# mount entry:	/	xfs

# description of columns:
#   <module>: module responsible for this I/O record.
#   <rank>: MPI rank.  -1 indicates that the file is shared
#      across all processes and statistics are aggregated.
#   <record id>: hash of the record's file path
#   <counter name> and <counter value>: statistical counters.
#      A value of -1 indicates that Darshan could not monitor
#      that counter, and its value should be ignored.
#   <file name>: full file path for the record.
#   <mount pt>: mount point that the file resides on.
#   <fs type>: type of file system that the file resides on.

# *******************************************************
# POSIX module data
# *******************************************************

# description of POSIX counters:
#   POSIX_*: posix operation counts.
#   READS,WRITES,OPENS,SEEKS,STATS,MMAPS,SYNCS,FILENOS,DUPS are types of operations.
#   POSIX_RENAME_SOURCES/TARGETS: total count file was source or target of a rename operation
#   POSIX_RENAMED_FROM: Darshan record ID of the first rename source, if file was a rename target
#   POSIX_MODE: mode that file was opened in.
#   POSIX_BYTES_*: total bytes read and written.
#   POSIX_MAX_BYTE_*: highest offset byte read and written.
#   POSIX_CONSEC_*: number of exactly adjacent reads and writes.
#   POSIX_SEQ_*: number of reads and writes from increasing offsets.
#   POSIX_RW_SWITCHES: number of times access alternated between read and write.
#   POSIX_*_ALIGNMENT: memory and file alignment.
#   POSIX_*_NOT_ALIGNED: number of reads and writes that were not aligned.
#   POSIX_MAX_*_TIME_SIZE: size of the slowest read and write operations.
#   POSIX_SIZE_*_*: histogram of read and write access sizes.
#   POSIX_STRIDE*_STRIDE: the four most common strides detected.
#   POSIX_STRIDE*_COUNT: count of the four most common strides.
#   POSIX_ACCESS*_ACCESS: the four most common access sizes.
#   POSIX_ACCESS*_COUNT: count of the four most common access sizes.
#   POSIX_*_RANK: rank of the processes that were the fastest and slowest at I/O (for shared files).
#   POSIX_*_RANK_BYTES: bytes transferred by the fastest and slowest ranks (for shared files).
#   POSIX_F_*_START_TIMESTAMP: timestamp of first open/read/write/close.
#   POSIX_F_*_END_TIMESTAMP: timestamp of last open/read/write/close.
#   POSIX_F_READ/WRITE/META_TIME: cumulative time spent in read, write, or metadata operations.
#   POSIX_F_MAX_*_TIME: duration of the slowest read and write operations.
#   POSIX_F_*_RANK_TIME: fastest and slowest I/O time for a single rank (for shared files).
#   POSIX_F_VARIANCE_RANK_*: variance of total I/O time and bytes moved for all ranks (for shared files).

# WARNING: POSIX_OPENS counter includes both POSIX_FILENOS and POSIX_DUPS counts

# WARNING: POSIX counters related to file offsets may be incorrect if a file is simultaneously accessed by both POSIX and STDIO (e.g., using fileno())
# 	- Affected counters include: MAX_BYTE_{READ|WRITTEN}, CONSEC_{READS|WRITES}, SEQ_{READS|WRITES}, {MEM|FILE}_NOT_ALIGNED, STRIDE*_STRIDE

#<module>	<rank>	<record id>	<counter>	<value>	<file name>	<mount pt>	<fs type>
POSIX	0	8836698848750925136	POSIX_OPENS	1	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_FILENOS	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_DUPS	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_READS	5048314	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_WRITES	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_SEEKS	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_STATS	2	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_MMAPS	-1	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_FSYNCS	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_FDSYNCS	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_RENAME_SOURCES	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_RENAME_TARGETS	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_RENAMED_FROM	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_MODE	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_BYTES_READ	2430108168	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_BYTES_WRITTEN	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_MAX_BYTE_READ	46101641015	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_MAX_BYTE_WRITTEN	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_CONSEC_READS	160836	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_CONSEC_WRITES	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_SEQ_READS	1519487	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_SEQ_WRITES	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_RW_SWITCHES	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_MEM_NOT_ALIGNED	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_MEM_ALIGNMENT	8	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_FILE_NOT_ALIGNED	5043325	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_FILE_ALIGNMENT	4096	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_MAX_READ_TIME_SIZE	352	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_MAX_WRITE_TIME_SIZE	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_SIZE_READ_0_100	3	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_SIZE_READ_100_1K	5048310	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_SIZE_READ_1K_10K	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_SIZE_READ_10K_100K	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_SIZE_READ_100K_1M	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_SIZE_READ_1M_4M	1	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_SIZE_READ_4M_10M	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
POSIX	0	8836698848750925136	POSIX_SIZE_READ_10M_100M	0	/files6/scratch/yll6162/train_2048.h5	/files6	xfs
